open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1708909200,51678.9,51698.33,51473.17,51473.17,670.35056,1708912799,34564735.3757425,30843,291.80121,15044125.9433334,0
1708912800,51473.17,51546.0,51428.0,51432.92,638.00952,1708916399,32840151.6598221,32002,297.7654,15326632.6605331,0
1708916400,51432.92,51564.0,51400.0,51555.59,676.28034,1708919999,34816994.5417497,26615,469.179,24154744.4118167,0
1708920000,51555.6,51588.88,51473.42,51534.24,635.90437,1708923599,32758443.8403731,29389,381.90409,19673103.3704197,0
1708923600,51534.23,51598.06,51431.1,51569.0,713.52402,1708927199,36765409.072078,30710,441.56767,22753231.3607983,0
1708927200,51569.0,51598.06,51484.21,51521.09,540.98926,1708930799,27872112.8205948,33578,298.13259,15359285.6018848,0
1708930800,51521.08,51521.09,51288.18,51293.26,1075.19329,1708934399,55247544.210502,46728,430.79487,22135750.9513488,0
1708934400,51293.26,51374.66,51250.15,51250.16,1005.19285,1708937999,51574413.6391139,41335,598.14044,30689304.5375401,0
1708938000,51250.16,51304.23,50901.44,50949.99,2216.38332,1708941599,113193126.9919859,77971,1020.36599,52115115.568763,0
1708941600,50950.0,51246.0,50939.6,51170.58,1223.7212,1708945199,62593219.6358177,62869,707.66857,36195213.440406,0
1708945200,51170.58,51217.66,51044.0,51090.01,983.60262,1708948799,50283237.5641299,47126,476.6697,24367900.152071,0
1708948800,51090.01,51233.83,50957.0,51233.82,1118.15238,1708952399,57131240.4492606,73212,537.48529,27465012.4032568,0
1708952400,51233.82,51437.29,51203.95,51228.5,1307.24404,1708955999,67088973.0694491,61709,621.72003,31904305.6402954,0
1708956000,51228.49,51718.6,51207.4,51687.02,1712.59512,1708959599,88222459.0914885,102355,891.44691,45913708.2738543,0
1708959600,51687.03,52847.84,51642.08,52842.32,7623.17786,1708963199,399275394.89222383,322450,4406.17799,230674122.06030047,0
1708963200,52842.33,53647.71,52753.28,53391.02,8320.61729,1708966799,442930798.0285207,190191,4383.99449,233333578.9485216,0
1708966800,53391.01,53510.0,53214.26,53502.6,3096.24017,1708970399,165289548.1582149,76290,1620.00982,86491855.566736,0
1708970400,53502.61,53620.0,53294.39,53591.09,2385.79157,1708973999,127675150.6283118,65440,1190.04006,63689215.1152883,0
1708974000,53591.1,54512.02,53428.16,54487.11,6128.73376,1708977599,331565470.988176,158202,3501.85103,189409700.8132028,0
1708977600,54487.1,54910.0,54258.2,54448.09,3908.33581,1708981199,213227734.46324512,114000,2053.9911,112068823.0376111,0
1708981200,54448.1,54736.99,54313.65,54642.89,1747.16973,1708984799,95286127.0245744,58158,943.7285,51469258.9592865,0
1708984800,54642.89,54807.4,54460.01,54659.79,1504.84791,1708988399,82223821.5029437,51082,749.4772,40962246.6287455,0
1708988400,54659.78,54659.79,54439.42,54476.47,1159.73862,1708991999,63247679.5631361,37496,501.55172,27350656.7808887,0
1708992000,54476.48,54638.0,54450.13,54554.93,1454.51632,1708995599,79317754.5286391,42999,671.77634,36631815.5413497,0
1708995600,54554.94,55795.52,54508.78,55768.41,4439.8143,1708999199,244892489.7061842,139605,2789.84112,153893145.4368445,0
1708999200,55768.41,57073.84,55592.0,56298.48,7459.1001,1709002799,420316323.19096893,238327,3926.52575,221262512.7331844,0
1709002800,56298.47,56530.09,55517.44,55667.6,3869.26358,1709006399,217557874.4557708,144894,1733.04148,97488154.4862365,0
1709006400,55667.6,56099.52,55576.12,55737.99,2251.01229,1709009999,125720512.2873798,114953,1139.25279,63636314.1395858,0
1709010000,55738.0,56204.79,55645.53,56066.01,2044.18467,1709013599,114320264.7421731,86596,1105.50443,61813972.3564571,0
1709013600,56066.02,56448.0,56046.0,56363.0,1772.35908,1709017199,99770939.141504,83040,966.5171,54405391.7666246,0
1709017200,56363.01,56378.46,55805.0,56059.08,2745.85,1709020799,153930568.3393222,84765,1183.93774,66375964.0857773,0
1709020800,56059.09,56456.77,56023.8,56235.99,1911.14045,1709024399,107588598.1593637,69879,1013.04509,57032312.3005128,0
1709024400,56235.99,56760.72,56161.6,56615.94,2740.72085,1709027999,154773040.0702192,127681,1387.22673,78349987.2738354,0
1709028000,56615.94,56818.02,56366.06,56528.25,2118.45421,1709031599,119871426.160653,94491,1111.01343,62867966.0824817,0
1709031600,56528.25,56579.56,56321.1,56527.79,1491.81806,1709035199,84235244.5034267,65598,723.35381,40843704.3066607,0
1709035200,56527.8,57416.93,56457.26,56786.95,4439.13859,1709038799,253019191.7475636,164843,2500.54025,142511643.5937706,0
